1 0 FT924-655 1  22.968359 STANDARD
1 0 FT924-7265 1  20.785057 STANDARD
1 0 FT934-15047 1  19.74907 STANDARD
1 0 FT932-1950 1  18.854181 STANDARD
1 0 FT944-8162 1  18.839659 STANDARD
1 0 FT943-12593 1  18.734444 STANDARD
1 0 FT943-15609 1  18.55988 STANDARD
1 0 FT933-15375 1  18.093967 STANDARD
1 0 FT922-15548 1  17.976404 STANDARD
1 0 FT924-2793 1  17.946619 STANDARD
1 0 FT921-4817 1  17.913351 STANDARD
1 0 FT921-727 1  17.827368 STANDARD
1 0 FT924-1732 1  17.706282 STANDARD
1 0 FT924-2944 1  17.685476 STANDARD
1 0 FT933-14750 1  17.640436 STANDARD
1 0 FT942-12998 1  17.571014 STANDARD
1 0 FT944-14293 1  17.46262 STANDARD
1 0 FT933-15285 1  17.442055 STANDARD
1 0 FT934-8387 1  17.434288 STANDARD
1 0 FT922-12960 1  17.316162 STANDARD
1 0 FT931-16840 1  17.308992 STANDARD
1 0 FT931-16995 1  17.308992 STANDARD
1 0 FT934-104 1  17.25532 STANDARD
1 0 FT934-7023 1  17.221354 STANDARD
1 0 FT923-12797 1  17.113514 STANDARD
1 0 FT943-16181 1  17.018433 STANDARD
1 0 FT941-5393 1  17.00481 STANDARD
1 0 FT934-11235 1  16.96794 STANDARD
1 0 FT922-221 1  16.897463 STANDARD
1 0 FT941-5413 1  16.78091 STANDARD
1 0 FT941-7838 1  16.77145 STANDARD
1 0 FT923-6065 1  16.76107 STANDARD
1 0 FT934-4193 1  16.747532 STANDARD
1 0 FT922-8378 1  16.745365 STANDARD
1 0 FT923-2968 1  16.74208 STANDARD
1 0 FT934-7953 1  16.706326 STANDARD
1 0 FT934-12743 1  16.681456 STANDARD
1 0 FT924-4470 1  16.675356 STANDARD
1 0 FT944-17986 1  16.660093 STANDARD
1 0 FT941-16124 1  16.628052 STANDARD
1 0 FT941-3310 1  16.58862 STANDARD
1 0 FT924-10840 1  16.565874 STANDARD
1 0 FT933-12835 1  16.561066 STANDARD
1 0 FT922-9616 1  16.554604 STANDARD
1 0 FT922-3402 1  16.524904 STANDARD
1 0 FT943-5142 1  16.502035 STANDARD
1 0 FT931-16878 1  16.439877 STANDARD
1 0 FT933-803 1  16.429655 STANDARD
1 0 FT911-559 1  16.415243 STANDARD
1 0 FT941-10908 1  16.399872 STANDARD
1 0 FT933-10915 1  16.358603 STANDARD
1 0 FT944-5307 1  16.303156 STANDARD
1 0 FT923-10635 1  16.293709 STANDARD
1 0 FT921-12233 1  16.282547 STANDARD
1 0 FT921-13116 1  16.25667 STANDARD
1 0 FT942-10203 1  16.24409 STANDARD
1 0 FT943-5819 1  16.217659 STANDARD
1 0 FT944-18913 1  16.198448 STANDARD
1 0 FT923-5236 1  16.156942 STANDARD
1 0 FT922-3575 1  16.131014 STANDARD
1 0 FT922-2755 1  16.112617 STANDARD
1 0 FT924-13939 1  16.109268 STANDARD
1 0 FT924-2792 1  16.084976 STANDARD
1 0 FT933-12834 1  16.026205 STANDARD
1 0 FT932-13416 1  16.009483 STANDARD
1 0 FT934-12831 1  15.991659 STANDARD
1 0 FT942-7249 1  15.9810705 STANDARD
1 0 FT942-11396 1  15.971817 STANDARD
1 0 FT923-5637 1  15.955486 STANDARD
1 0 FT933-1203 1  15.909326 STANDARD
1 0 FT934-16480 1  15.873914 STANDARD
1 0 FT931-12610 1  15.810502 STANDARD
1 0 FT943-12037 1  15.799067 STANDARD
1 0 FT921-13143 1  15.788107 STANDARD
1 0 FT932-11529 1  15.761628 STANDARD
1 0 FT942-16369 1  15.693913 STANDARD
1 0 FT924-8126 1  15.647524 STANDARD
1 0 FT921-6606 1  15.625658 STANDARD
1 0 FT941-13670 1  15.615023 STANDARD
1 0 FT922-4434 1  15.607507 STANDARD
1 0 FT931-16775 1  15.596217 STANDARD
1 0 FT924-394 1  15.594695 STANDARD
1 0 FT934-15669 1  15.591127 STANDARD
1 0 FT941-1403 1  15.588249 STANDARD
1 0 FT924-14121 1  15.585768 STANDARD
1 0 FT932-8398 1  15.585515 STANDARD
1 0 FT933-3276 1  15.570284 STANDARD
1 0 FT942-16360 1  15.566401 STANDARD
1 0 FT934-4092 1  15.5640745 STANDARD
1 0 FT924-11405 1  15.547383 STANDARD
1 0 FT944-3759 1  15.523311 STANDARD
1 0 FT933-3792 1  15.507405 STANDARD
1 0 FT911-3580 1  15.479639 STANDARD
1 0 FT944-8163 1  15.464683 STANDARD
1 0 FT933-6013 1  15.453113 STANDARD
1 0 FT933-7465 1  15.442636 STANDARD
1 0 FT924-3751 1  15.43226 STANDARD
1 0 FT934-11514 1  15.430036 STANDARD
1 0 FT931-8007 1  15.419751 STANDARD
1 0 FT933-16953 1  15.418621 STANDARD
1 0 FT924-7400 1  15.407255 STANDARD
1 0 FT922-15566 1  15.401988 STANDARD
1 0 FT933-9106 1  15.392237 STANDARD
1 0 FT924-2233 1  15.386971 STANDARD
1 0 FT921-2778 1  15.383534 STANDARD
1 0 FT944-17654 1  15.36394 STANDARD
1 0 FT942-15909 1  15.356908 STANDARD
1 0 FT942-14298 1  15.35611 STANDARD
1 0 FT943-15302 1  15.354624 STANDARD
1 0 FT924-2052 1  15.347257 STANDARD
1 0 FT921-11087 1  15.325134 STANDARD
1 0 FT944-5281 1  15.322589 STANDARD
1 0 FT943-3667 1  15.309052 STANDARD
1 0 FT932-17157 1  15.298333 STANDARD
1 0 FT911-3433 1  15.263839 STANDARD
1 0 FT924-15645 1  15.237507 STANDARD
1 0 FT933-8639 1  15.218734 STANDARD
1 0 FT932-10861 1  15.181557 STANDARD
1 0 FT911-5294 1  15.1726 STANDARD
1 0 FT942-13008 1  15.172559 STANDARD
1 0 FT941-10773 1  15.1439 STANDARD
1 0 FT924-3349 1  15.117618 STANDARD
1 0 FT934-13419 1  15.117599 STANDARD
1 0 FT944-9692 1  15.099075 STANDARD
1 0 FT944-9693 1  15.081791 STANDARD
1 0 FT943-10096 1  15.060282 STANDARD
1 0 FT942-3197 1  15.055529 STANDARD
1 0 FT934-5305 1  15.05355 STANDARD
1 0 FT944-12878 1  15.039051 STANDARD
1 0 FT941-2436 1  15.031513 STANDARD
1 0 FT942-13454 1  15.029276 STANDARD
1 0 FT923-4647 1  15.019738 STANDARD
1 0 FT933-2075 1  15.001689 STANDARD
1 0 FT923-14080 1  14.999001 STANDARD
1 0 FT923-189 1  14.996937 STANDARD
1 0 FT911-4856 1  14.950419 STANDARD
1 0 FT923-6219 1  14.948006 STANDARD
1 0 FT932-10335 1  14.935484 STANDARD
1 0 FT941-2903 1  14.917226 STANDARD
1 0 FT941-11063 1  14.900317 STANDARD
1 0 FT942-7093 1  14.900195 STANDARD
1 0 FT924-15541 1  14.865959 STANDARD
1 0 FT923-348 1  14.852691 STANDARD
1 0 FT931-16560 1  14.851938 STANDARD
1 0 FT932-13963 1  14.847724 STANDARD
1 0 FT923-10964 1  14.843131 STANDARD
1 0 FT942-15009 1  14.824256 STANDARD
1 0 FT942-11436 1  14.806079 STANDARD
1 0 FT931-12927 1  14.795415 STANDARD
1 0 FT924-2553 1  14.787571 STANDARD
1 0 FT934-12469 1  14.782023 STANDARD
1 0 FT922-4286 1  14.773182 STANDARD
1 0 FT924-15540 1  14.77318 STANDARD
1 0 FT944-2368 1  14.7710905 STANDARD
1 0 FT944-2530 1  14.7710905 STANDARD
1 0 FT923-4063 1  14.723906 STANDARD
1 0 FT923-2295 1  14.720375 STANDARD
1 0 FT934-10802 1  14.6889515 STANDARD
1 0 FT942-7258 1  14.666871 STANDARD
1 0 FT933-11223 1  14.663613 STANDARD
1 0 FT923-13562 1  14.662104 STANDARD
1 0 FT924-2467 1  14.660297 STANDARD
1 0 FT931-5042 1  14.657999 STANDARD
1 0 FT923-1705 1  14.647914 STANDARD
1 0 FT934-2906 1  14.642321 STANDARD
1 0 FT943-2939 1  14.632998 STANDARD
1 0 FT944-15867 1  14.632542 STANDARD
1 0 FT932-12118 1  14.631369 STANDARD
1 0 FT931-4950 1  14.620134 STANDARD
1 0 FT923-5748 1  14.605235 STANDARD
1 0 FT933-14740 1  14.604008 STANDARD
1 0 FT944-8808 1  14.591774 STANDARD
1 0 FT943-5289 1  14.583798 STANDARD
1 0 FT933-10979 1  14.582979 STANDARD
1 0 FT942-12573 1  14.562147 STANDARD
1 0 FT942-254 1  14.55064 STANDARD
1 0 FT924-11408 1  14.538883 STANDARD
1 0 FT931-16871 1  14.528242 STANDARD
1 0 FT934-748 1  14.511249 STANDARD
1 0 FT941-4228 1  14.507659 STANDARD
1 0 FT923-2772 1  14.505382 STANDARD
1 0 FT924-9519 1  14.4834175 STANDARD
1 0 FT934-2439 1  14.459147 STANDARD
1 0 FT941-12162 1  14.449944 STANDARD
1 0 FT942-11684 1  14.418314 STANDARD
1 0 FT933-13524 1  14.41153 STANDARD
1 0 FT933-7105 1  14.399405 STANDARD
1 0 FT934-16134 1  14.397087 STANDARD
1 0 FT932-13533 1  14.396165 STANDARD
1 0 FT922-15267 1  14.383884 STANDARD
1 0 FT924-6120 1  14.366098 STANDARD
1 0 FT934-10426 1  14.359847 STANDARD
1 0 FT922-1181 1  14.346624 STANDARD
1 0 FT924-8519 1  14.332557 STANDARD
1 0 FT933-2357 1  14.33057 STANDARD
1 0 FT923-8477 1  14.322113 STANDARD
1 0 FT931-11902 1  14.316957 STANDARD
1 0 FT943-2173 1  14.312255 STANDARD
1 0 FT923-14452 1  14.311351 STANDARD
1 0 FT923-15016 1  14.3043995 STANDARD
1 0 FT932-7476 1  14.292367 STANDARD
1 0 FT944-6022 1  14.285479 STANDARD
1 0 FT942-15368 1  14.283562 STANDARD
1 0 FT924-1350 1  14.281809 STANDARD
1 0 FT923-13484 1  14.276126 STANDARD
1 0 FT943-14145 1  14.274637 STANDARD
1 0 FT934-11069 1  14.270128 STANDARD
